date,location,percent_fully,left
2021-03-12,Cayman Islands,0.15392574558734023,0.1787583688374924
2021-03-16,Cayman Islands,0.17723676202069386,0.1935179549604382
2021-03-18,Cayman Islands,0.18787279367011564,0.20709068776628117
2021-03-19,Cayman Islands,0.19513085818624468,0.20537127206329883
2021-03-22,Cayman Islands,0.20608642726719414,0.21404443091905054
2021-03-24,Cayman Islands,0.22481740718198417,0.2050060864272672
2021-03-25,Cayman Islands,0.23517954960438223,0.20007608034083993
2021-03-29,Cayman Islands,0.27325015216068166,0.17781497261107732
2021-03-31,Cayman Islands,0.2903986609860012,0.17332623250152163
2021-04-01,Cayman Islands,0.30669506999391355,0.15902312842361538
2021-04-07,Cayman Islands,0.33737066342057215,0.13892270237370663
2021-04-08,Cayman Islands,0.3590079123554474,0.11967437614120507
2021-04-09,Cayman Islands,0.37360012172854534,0.10815581253804019
2021-04-13,Cayman Islands,0.40328667072428487,0.0983718807060256
2021-04-15,Cayman Islands,0.41224893487522823,0.09815885575167377
2021-04-16,Cayman Islands,0.41548995739500916,0.09893487522824096
2021-04-20,Cayman Islands,0.43724893487522826,0.08944004869141814
2021-04-21,Cayman Islands,0.44108338405356057,0.08822276323797934
2021-04-30,Cayman Islands,0.45526475958612295,0.08907486305538653
2021-05-07,Cayman Islands,0.49150943396226415,0.07863664029214851
2021-05-13,Cayman Islands,0.5122641509433963,0.08866402921485084
2021-05-14,Cayman Islands,0.5161442483262325,0.08933353621424223
2021-05-19,Cayman Islands,0.5219872185027389,0.09849360925136941
2021-05-25,Cayman Islands,0.5493152769324406,0.09768715763846625
2021-05-26,Cayman Islands,0.556208155812538,0.09488740109555693
2021-01-13,Chile,5.3828664459569364e-5,5.060626821981282e-4
2021-01-14,Chile,3.047152288406137e-4,3.659721443723492e-4
2021-01-15,Chile,4.341341947035628e-4,2.8661540580561767e-4
2021-01-16,Chile,4.376390737305707e-4,2.8431369420579155e-4
2021-01-17,Chile,4.376390737305707e-4,2.8431369420579155e-4
2021-01-18,Chile,4.376390737305707e-4,8.615725011167225e-4
2021-01-19,Chile,4.377436969851083e-4,0.0018738024887675166
2021-01-20,Chile,4.377436969851083e-4,0.002360457557248929
2021-01-21,Chile,4.377436969851083e-4,0.0025205834483186494
2021-01-22,Chile,4.377436969851083e-4,0.0025421358387533845
2021-01-23,Chile,4.377436969851083e-4,0.0025421358387533845
2021-01-24,Chile,4.377436969851083e-4,0.0025421358387533845
2021-01-25,Chile,5.111369100431995e-4,0.002469631923358863
2021-01-26,Chile,5.422623282681205e-4,0.002439605049306586
2021-01-27,Chile,5.440409235952588e-4,0.002437878765606716
2021-01-28,Chile,5.440409235952588e-4,0.002437878765606716
2021-01-29,Chile,5.443024817316027e-4,0.002437617207470372
2021-01-30,Chile,5.443024817316027e-4,0.0024376695190976416
2021-01-31,Chile,5.443024817316027e-4,0.0024376695190976416
2021-02-01,Chile,5.443024817316027e-4,0.0024376695190976416
2021-02-02,Chile,5.446163514952154e-4,0.0031268752083637506
2021-02-03,Chile,5.446163514952154e-4,0.012041351922862948
2021-02-04,Chile,6.548892617777929e-4,0.021037382464274168
2021-02-05,Chile,6.899380520478721e-4,0.029826782077973724
2021-02-06,Chile,6.901996101842159e-4,0.03128329471601822
2021-02-07,Chile,6.902519218114847e-4,0.031735005617484095
2021-02-08,Chile,0.0013055935933740837,0.04270836335802773
2021-02-09,Chile,0.0023190267484520595,0.05438185991793666
2021-02-10,Chile,0.0027550441617372984,0.06820552129347403
2021-02-11,Chile,0.0029058062715259076,0.0812009326744649
2021-02-12,Chile,0.0029167917132523506,0.09318468949570494
2021-02-13,Chile,0.002918570308579489,0.09472657470945206
2021-02-14,Chile,0.002918570308579489,0.09496019843683441
2021-02-15,Chile,0.002918570308579489,0.10887200490431968
2021-02-16,Chile,0.0029191457364794453,0.12038349235457721
2021-02-17,Chile,0.0029191457364794453,0.1302237279368519
2021-02-18,Chile,0.0029191457364794453,0.13834740978192905
2021-02-19,Chile,0.0029191457364794453,0.14578502463537618
2021-02-20,Chile,0.0029191457364794453,0.1462892564106199
2021-02-21,Chile,0.0029191457364794453,0.14635014714476077
2021-02-22,Chile,0.0029202442806520895,0.15200550485716074
2021-02-23,Chile,0.0029223367457428405,0.15693310321099752
2021-02-24,Chile,0.0029313866572603384,0.16142913063986694
2021-02-25,Chile,0.002938919531587042,0.1659173636362733
2021-02-26,Chile,0.0029450923036047575,0.1700013846887738
2021-02-27,Chile,0.0029453015501138325,0.17052303623589804
2021-02-28,Chile,0.0029453015501138325,0.17054160686357844
2021-03-01,Chile,0.002966592382412224,0.17769360023213807
2021-03-02,Chile,0.003615884300072258,0.18535767212003174
2021-03-03,Chile,0.011674804350590642,0.1855554100711077
2021-03-04,Chile,0.020349066072671628,0.18445011769854577
2021-03-05,Chile,0.02880006176956948,0.1831284121239729
2021-03-06,Chile,0.03006213208905594,0.18237078282623922
2021-03-07,Chile,0.030422768447446877,0.18206585835088956
2021-03-08,Chile,0.04161719512482836,0.17801740920493178
2021-03-09,Chile,0.05404073579651698,0.172864818542212
2021-03-10,Chile,0.0679291589666131,0.1660778557087339
2021-03-11,Chile,0.08077229120062455,0.16220213955601764
2021-03-12,Chile,0.09244306755591551,0.15844114280190175
2021-03-13,Chile,0.09381023193458493,0.15834488940772723
2021-03-14,Chile,0.09401079471353342,0.15828797435725883
2021-03-15,Chile,0.10826210364199303,0.15228641829559408
2021-03-16,Chile,0.12099768317033989,0.14825109936808079
2021-03-17,Chile,0.13229772702317702,0.14483975353062942
2021-03-18,Chile,0.14203103763931435,0.14284715133633452
2021-03-19,Chile,0.15012620964753,0.14185683992050932
2021-03-20,Chile,0.15070074824982296,0.14249300161972492
2021-03-21,Chile,0.15076221441186377,0.14258041434889102
2021-03-22,Chile,0.15714051881311822,0.14373048547439507
2021-03-23,Chile,0.16187608118325134,0.14668059969421762
